,week_id,unique_id,player_name,position,injury_status,predicted,actual,performance,performance_difference
2172,2019_14,jaylensamuels,Jaylen Samuels,bench,0,9.708484203,5.4,1,-4.308484202999999
2173,2019_14,markandrews,Mark Andrews,te,0,12.145670889,2.4000000000000004,1,-9.745670889
2174,2019_14,kirkcousins,Kirk Cousins,qb,0,18.1122256993,13.58,1,-4.532225699300001
2175,2019_14,darwinthompson,Darwin Thompson,bench,0,7.264385686,8.3,0,1.035614314000001
2176,2019_14,le'veonbell,Le'Veon Bell,rb,0,0.0,0.0,1,0.0
2177,2019_14,aaronrodgers,Aaron Rodgers,qb,0,18.426213513,11.4,1,-7.026213513
2178,2019_14,michaelthomas,Michael Thomas,wr,0,21.416080576,30.4,0,8.983919424
2179,2019_14,joshjacobs,Josh Jacobs,rb,1,0.0,0.0,1,0.0
2180,2019_14,marlonmack,Marlon Mack,flex,0,13.0904310209,9.8,1,-3.2904310209
2181,2019_14,mikewilliams,Mike Williams,wr,0,10.1983602178,14.3,0,4.101639782200001
2182,2019_14,mohamedsanusr.,Mohamed Sanu Sr.,bench,1,7.4631498889,2.3,1,-5.1631498889000005
2183,2019_14,adamhumphries,Adam Humphries,bench,0,0.0,0.0,1,0.0
2184,2019_14,chrisconley,Chris Conley,bench,0,8.676244388,1.7000000000000002,1,-6.9762443880000005
2185,2019_14,jordanhoward,Jordan Howard,flex,1,0.0,0.0,1,0.0
2186,2019_14,ericebron,Eric Ebron,bench,1,0.0,0.0,1,0.0
2187,2019_14,jacobybrissett,Jacoby Brissett,bench,0,17.685416434000004,22.64,0,4.954583565999997
2188,2019_14,kylerudolph,Kyle Rudolph,te,0,9.860890489,3.1,1,-6.760890489000001
2189,2019_14,traviskelce,Travis Kelce,te,0,16.176647934,18.0,0,1.8233520660000018
2190,2019_14,stefondiggs,Stefon Diggs,flex,0,13.266169992599998,15.2,0,1.933830007400001
2191,2019_14,chrisgodwin,Chris Godwin,wr,1,16.791179014999997,16.1,1,-0.6911790149999959
2192,2019_14,nickchubb,Nick Chubb,rb,0,18.437965775999995,12.7,1,-5.737965775999996
2193,2019_14,aaronjones,Aaron Jones,rb,0,16.384448003,31.2,0,14.815551997
2194,2019_14,dukejohnson,Duke Johnson,bench,0,9.98478956,10.5,0,0.5152104400000006
2195,2019_14,johnbrown,John Brown,wr,0,13.253865010999998,5.6,1,-7.653865010999999
2196,2019_14,goldentate,Golden Tate,bench,0,10.8585208151,2.1,1,-8.7585208151
2197,2019_14,jimmygaroppolo,Jimmy Garoppolo,bench,0,16.0254228949,28.06,0,12.034577105099999
2198,2019_14,jamaalwilliams,Jamaal Williams,bench,0,11.441167706000002,2.4000000000000004,1,-9.041167706000001
2199,2019_14,bennysnelljr.,Benny Snell Jr.,bench,0,10.247190488,2.1000000000000005,1,-8.147190488
2200,2019_14,ryanfitzpatrick,Ryan Fitzpatrick,qb,0,16.055854505000003,14.3,1,-1.755854505000002
2201,2019_14,bilalpowell,Bilal Powell,flex,0,12.43862212,10.8,1,-1.638622119999999
2202,2019_14,melvingordon,Melvin Gordon,rb,0,15.678814301,19.4,0,3.7211856989999994
2203,2019_14,jujusmith-schuster,JuJu Smith-Schuster,flex,0,0.0,0.0,1,0.0
2204,2019_14,odellbeckhamjr.,Odell Beckham Jr.,wr,1,13.7007541231,5.9,1,-7.800754123099999
2205,2019_14,cooperkupp,Cooper Kupp,wr,0,14.209900357300002,14.5,0,0.2900996426999978
2206,2019_14,mattbreida,Matt Breida,bench,0,7.846994865999999,6.800000000000001,1,-1.0469948659999986
2207,2019_14,devinsingletary,Devin Singletary,flex,0,13.576815016,17.8,0,4.223184984000001
2208,2019_14,russellwilson,Russell Wilson,qb,0,19.800229448000003,10.6,1,-9.200229448000004
2209,2019_14,dallasgoedert,Dallas Goedert,te,0,9.037433163,7.1000000000000005,1,-1.9374331629999988
2210,2019_14,tonypollard,Tony Pollard,bench,0,0.0,0.0,1,0.0
