,team_name,week_id,days_since_last_game
489,LV,2019_11,10
490,LV,2019_12,7
491,LV,2019_13,7
492,LV,2019_14,7
493,LV,2019_15,7
494,LV,2019_16,7
495,LV,2019_17,7
496,LV,2020_1,259
497,LV,2020_2,8
498,LV,2020_3,6
499,LV,2020_4,7
500,LV,2020_5,7
501,LV,2020_7,14
502,LV,2020_8,7
503,LV,2020_9,7
504,LV,2020_10,7
505,LV,2020_11,7
506,LV,2020_12,7
507,LV,2020_13,7
508,LV,2020_14,7
509,LV,2020_15,4
510,LV,2020_16,9
511,LV,2020_17,8
512,ATL,2019_1,365
513,ATL,2019_2,7
514,ATL,2019_3,7
515,ATL,2019_4,7
516,ATL,2019_5,7
517,ATL,2019_6,7
518,ATL,2019_7,7
519,ATL,2019_8,7
520,ATL,2019_10,14
521,ATL,2019_11,7
522,ATL,2019_12,7
523,ATL,2019_13,4
524,ATL,2019_14,10
525,ATL,2019_15,7
526,ATL,2019_16,7
527,ATL,2019_17,7
528,ATL,2020_1,259
529,ATL,2020_2,7
530,ATL,2020_3,7
531,ATL,2020_4,8
532,ATL,2020_5,6
533,ATL,2020_6,7
534,ATL,2020_7,7
535,ATL,2020_8,4
536,ATL,2020_9,10
537,ATL,2020_11,14
538,ATL,2020_12,7
539,ATL,2020_13,7
540,ATL,2020_14,7
541,ATL,2020_15,7
542,ATL,2020_16,7
543,ATL,2020_17,7
544,BLT,2019_1,365
545,BLT,2019_2,7
546,BLT,2019_3,7
547,BLT,2019_4,7
548,BLT,2019_5,7
549,BLT,2019_6,7
550,BLT,2019_7,7
551,BLT,2019_9,14
552,BLT,2019_10,7
553,BLT,2019_11,7
554,BLT,2019_12,8
555,BLT,2019_13,6
556,BLT,2019_14,7
557,BLT,2019_15,4
558,BLT,2019_16,10
559,BLT,2019_17,7
560,BLT,2020_1,259
561,BLT,2020_2,7
562,BLT,2020_3,8
563,BLT,2020_4,6
564,BLT,2020_5,7
565,BLT,2020_6,7
566,BLT,2020_8,14
567,BLT,2020_9,7
568,BLT,2020_10,7
569,BLT,2020_11,7
570,BLT,2020_12,10
571,BLT,2020_13,6
572,BLT,2020_14,6
573,BLT,2020_15,6
574,BLT,2020_16,7
575,BLT,2020_17,7
576,CIN,2019_1,365
577,CIN,2019_2,7
578,CIN,2019_3,7
579,CIN,2019_4,8
580,CIN,2019_5,6
581,CIN,2019_6,7
582,CIN,2019_7,7
583,CIN,2019_8,7
584,CIN,2019_10,14
585,CIN,2019_11,7
586,CIN,2019_12,7
587,CIN,2019_13,7
588,CIN,2019_14,7
589,CIN,2019_15,7
590,CIN,2019_16,7
591,CIN,2019_17,7
592,CIN,2020_1,259
593,CIN,2020_2,4
594,CIN,2020_3,10
595,CIN,2020_4,7
596,CIN,2020_5,7
597,CIN,2020_6,7
598,CIN,2020_7,7
599,CIN,2020_8,7
600,CIN,2020_10,14
601,CIN,2020_11,7
602,CIN,2020_12,7
603,CIN,2020_13,7
604,CIN,2020_14,7
605,CIN,2020_15,8
606,CIN,2020_16,6
607,CIN,2020_17,7
608,DEN,2019_1,365
609,DEN,2019_2,6
610,DEN,2019_3,7
611,DEN,2019_4,7
612,DEN,2019_5,7
613,DEN,2019_6,7
614,DEN,2019_7,4
615,DEN,2019_8,10
616,DEN,2019_9,7
617,DEN,2019_11,14
618,DEN,2019_12,7
619,DEN,2019_13,7
620,DEN,2019_14,7
621,DEN,2019_15,7
622,DEN,2019_16,7
623,DEN,2019_17,7
624,DEN,2020_1,260
625,DEN,2020_2,6
626,DEN,2020_3,7
627,DEN,2020_4,4
628,DEN,2020_6,17
629,DEN,2020_7,7
630,DEN,2020_8,7
631,DEN,2020_9,7
632,DEN,2020_10,7
633,DEN,2020_11,7
634,DEN,2020_12,7
635,DEN,2020_13,7
636,DEN,2020_14,7
637,DEN,2020_15,6
638,DEN,2020_16,8
639,DEN,2020_17,7
640,DET,2019_1,365
641,DET,2019_2,7
642,DET,2019_3,7
643,DET,2019_4,7
644,DET,2019_6,15
645,DET,2019_7,6
646,DET,2019_8,7
647,DET,2019_9,7
648,DET,2019_10,7
649,DET,2019_11,7
650,DET,2019_12,7
651,DET,2019_13,4
652,DET,2019_14,10
653,DET,2019_15,7
654,DET,2019_16,7
655,DET,2019_17,7
656,DET,2020_1,259
657,DET,2020_2,7
658,DET,2020_3,7
659,DET,2020_4,7
660,DET,2020_6,14
661,DET,2020_7,7
662,DET,2020_8,7
