,Week,Team,Player,Slot,Pos,Status,Proj,Actual
155,1,13,Austin Ekeler,23,Flex,ACTIVE,15.941498371,39.400000000000006
156,1,13,Sterling Shepard,4,WR,ACTIVE,13.8786587976,10.2
157,2,1,Saquon Barkley,2,RB,ACTIVE,23.028357559,22.500000000000004
158,2,1,Alvin Kamara,2,RB,ACTIVE,20.831770348000003,7.0
159,2,1,James White,23,Flex,ACTIVE,12.207303143999999,11.9
160,2,1,Tyler Boyd,4,WR,ACTIVE,12.862739741800002,22.200000000000003
161,2,1,Jared Goff,0,QB,ACTIVE,17.0533479534,19.12
162,2,1,Austin Hooper,20,Bench,ACTIVE,9.767052356,7.4
163,2,1,Marquez Valdes-Scantling,20,Bench,ACTIVE,8.791062305499999,4.9
164,2,1,Michael Gallup,23,Flex,ACTIVE,10.320334534999999,12.8
165,2,1,Giovani Bernard,20,Bench,ACTIVE,11.715615905000002,2.3000000000000003
166,2,1,T.J. Hockenson,6,TE,QUESTIONABLE,9.138019632999999,1.7000000000000002
167,2,1,Marquise Brown,20,Bench,QUESTIONABLE,8.707622675000001,16.6
168,2,1,John Ross III,4,WR,ACTIVE,11.587276209899999,21.200000000000003
169,2,1,Jameis Winston,20,Bench,QUESTIONABLE,17.009458418,13.22
170,2,2,David Johnson,2,RB,ACTIVE,17.835364303,8.4
171,2,2,Brandin Cooks,4,WR,ACTIVE,14.374831336400002,16.6
172,2,2,Mike Evans,4,WR,QUESTIONABLE,14.019683288,10.100000000000001
173,2,2,Mark Ingram II,2,RB,ACTIVE,12.827068136000001,9.7
174,2,2,Nyheim Hines,20,Bench,ACTIVE,7.3459513030000005,2.4
175,2,2,Malcolm Brown,23,Flex,ACTIVE,7.528036426100001,5.7
176,2,2,KeeSean Johnson,20,Bench,ACTIVE,7.339608945,6.1
177,2,2,Rashard Higgins,20,Bench,ACTIVE,6.279681307,0.0
178,2,2,Alexander Mattison,20,Bench,ACTIVE,3.2610238381,2.5
179,2,2,N'Keal Harry,21,IR,ACTIVE,0.0,0.0
180,2,2,Kyler Murray,0,QB,ACTIVE,15.324695575,16.36
181,2,2,T.Y. Hilton,23,Flex,ACTIVE,13.342860080000003,14.3
182,2,2,Greg Olsen,6,TE,ACTIVE,9.214111123999999,17.0
183,2,2,Corey Davis,20,Bench,ACTIVE,7.9557000871,6.800000000000001
184,2,3,Todd Gurley II,2,RB,ACTIVE,13.740985384,15.700000000000001
185,2,3,Keenan Allen,4,WR,ACTIVE,18.3898028518,17.8
186,2,3,Tyler Lockett,4,WR,ACTIVE,12.074937621700002,17.9
187,2,3,Adam Thielen,23,Flex,ACTIVE,15.362609969000001,12.5
188,2,3,Carson Wentz,0,QB,QUESTIONABLE,20.084051547,17.54
189,2,3,Robby Anderson,23,Flex,ACTIVE,10.8813814136,12.1
190,2,3,Kenyan Drake,2,RB,ACTIVE,11.63885833,9.8
191,2,3,Derrius Guice,20,Bench,ACTIVE,0.0,0.0
192,2,3,Hunter Henry,21,IR,ACTIVE,0.0,0.0
193,2,3,Kareem Hunt,20,Bench,ACTIVE,0.0,0.0
194,2,3,Justin Jackson,20,Bench,ACTIVE,9.210039426,7.4
195,2,3,Ben Roethlisberger,20,Bench,QUESTIONABLE,18.8469115626,3.0
196,2,3,Tyler Eifert,6,TE,ACTIVE,6.726768020000001,9.9
197,2,3,Ted Ginn Jr.,20,Bench,ACTIVE,9.3449970351,0.0
198,2,5,Christian McCaffrey,2,RB,ACTIVE,25.12085851,7.300000000000001
199,2,5,Patrick Mahomes,0,QB,ACTIVE,24.763503267000004,31.619999999999997
200,2,5,Chris Carson,2,RB,QUESTIONABLE,15.233578944000001,9.7
201,2,5,Dede Westbrook,4,WR,ACTIVE,10.8116786765,1.3
202,2,5,O.J. Howard,6,TE,ACTIVE,8.450672377999998,0.0
203,2,5,Tony Pollard,20,Bench,ACTIVE,4.381349746,3.5
204,2,5,Lamar Jackson,20,Bench,ACTIVE,19.894536092000003,30.880000000000003
205,2,5,Peyton Barber,20,Bench,ACTIVE,7.734731360999999,15.9
206,2,5,Sammy Watkins,4,WR,ACTIVE,15.6444827543,10.9
207,2,5,Curtis Samuel,20,Bench,ACTIVE,10.281994514100003,14.3
208,2,5,Marvin Jones Jr.,23,Flex,QUESTIONABLE,10.807649612000002,9.3
209,2,5,Tyrell Williams,23,Flex,QUESTIONABLE,14.794147071000001,15.600000000000001
210,2,5,Marquise Goodwin,20,Bench,QUESTIONABLE,6.9787058964,16.7
211,2,6,Julian Edelman,23,Flex,QUESTIONABLE,13.8003693567,9.2
212,2,6,Evan Engram,6,TE,QUESTIONABLE,12.629873858500002,10.8
213,2,6,Damien Williams,23,Flex,ACTIVE,13.885573442000002,8.600000000000001
214,2,6,Leonard Fournette,2,RB,QUESTIONABLE,15.583707274,12.7
215,2,6,James Conner,2,RB,QUESTIONABLE,16.954790162000002,13.5
216,2,6,DJ Moore,4,WR,QUESTIONABLE,13.0508605373,17.9
217,2,6,Alshon Jeffery,4,WR,QUESTIONABLE,13.010422222,0.0
218,2,6,Allen Robinson II,20,Bench,ACTIVE,12.815590617,8.100000000000001
219,2,6,Baker Mayfield,20,Bench,ACTIVE,17.7778331736,15.0
220,2,6,Dak Prescott,0,QB,ACTIVE,19.462384585000002,27.659999999999997
221,2,6,Keke Coutee,20,Bench,ACTIVE,7.136098343200002,2.7
222,2,6,Marqise Lee,21,IR,QUESTIONABLE,0.0,0.0
223,2,6,Donte Moncrief,20,Bench,ACTIVE,8.933334721000001,0.0
224,2,6,Jordan Howard,20,Bench,QUESTIONABLE,7.0462480745,3.5999999999999996
225,2,7,Julio Jones,4,WR,ACTIVE,19.132007059000003,27.6
226,2,7,Tyreek Hill,21,IR,ACTIVE,0.0,0.0
227,2,7,Robert Woods,23,Flex,ACTIVE,14.424464042500002,6.2
228,2,7,Sony Michel,2,RB,ACTIVE,11.968553161,12.3
229,2,7,Phillip Lindsay,2,RB,QUESTIONABLE,13.088183646999997,10.6
230,2,7,Matt Ryan,0,QB,ACTIVE,19.2581800994,19.1
231,2,7,Larry Fitzgerald,4,WR,ACTIVE,11.872501044000002,15.4
232,2,7,Tevin Coleman,20,Bench,ACTIVE,0.0,0.0
233,2,7,Vance McDonald,20,Bench,ACTIVE,9.092123668000001,22.8
234,2,7,Jaylen Samuels,20,Bench,ACTIVE,6.738661421,4.1
235,2,7,Dante Pettis,20,Bench,ACTIVE,5.022486672,0.64
236,2,7,James Washington,23,Flex,ACTIVE,8.816488369,4.300000000000001
237,2,7,Mark Andrews,6,TE,ACTIVE,9.507607772,25.200000000000003
238,2,7,Trey Quinn,20,Bench,QUESTIONABLE,9.414390090800001,7.6
239,2,8,Le'Veon Bell,2,RB,ACTIVE,19.124411305000002,20.900000000000002
240,2,8,Aaron Rodgers,0,QB,ACTIVE,17.147755214,14.36
241,2,8,Michael Thomas,4,WR,ACTIVE,18.462936074,18.9
242,2,8,Josh Jacobs,2,RB,QUESTIONABLE,16.705936523000002,9.9
243,2,8,Marlon Mack,23,Flex,ACTIVE,13.105331906,8.3
244,2,8,Mike Williams,4,WR,ACTIVE,9.9709293138,11.3
245,2,8,Rashaad Penny,20,Bench,QUESTIONABLE,6.8547479404,13.5
246,2,8,Delanie Walker,20,Bench,QUESTIONABLE,9.126807917999999,7.9
247,2,8,David Njoku,6,TE,ACTIVE,9.412032376,0.0
248,2,8,Mohamed Sanu Sr.,20,Bench,QUESTIONABLE,9.449484384299998,5.6
249,2,8,Mitchell Trubisky,20,Bench,QUESTIONABLE,16.791305681,5.6
250,2,8,Adam Humphries,20,Bench,ACTIVE,6.595912461600001,2.0
251,2,8,Chris Conley,23,Flex,ACTIVE,10.134025905000001,11.3
252,2,9,Travis Kelce,6,TE,ACTIVE,20.136662433999998,23.700000000000003
253,2,9,Stefon Diggs,4,WR,ACTIVE,14.6338776675,9.9
254,2,9,Chris Godwin,4,WR,QUESTIONABLE,14.35112271,26.1
255,2,9,Nick Chubb,23,Flex,ACTIVE,18.529737393,19.8
256,2,9,Aaron Jones,2,RB,ACTIVE,14.21299489,25.0
257,2,9,David Montgomery,20,Bench,ACTIVE,9.995138243,13.799999999999999
258,2,9,Duke Johnson,2,RB,ACTIVE,11.755089366,3.1
259,2,9,Latavius Murray,20,Bench,ACTIVE,7.975839066000002,3.3000000000000003
260,2,9,Kenny Stills,20,Bench,ACTIVE,6.083808895,5.800000000000001
261,2,9,Justice Hill,20,Bench,ACTIVE,3.4385619543000003,2.4
262,2,9,Dion Lewis,20,Bench,ACTIVE,8.063145965,2.4
263,2,9,John Brown,23,Flex,ACTIVE,10.00093261,14.2
264,2,9,Josh Allen,0,QB,ACTIVE,18.757954429,22.22
265,2,10,Melvin Gordon,20,Bench,ACTIVE,0.0,0.0
266,2,10,JuJu Smith-Schuster,4,WR,ACTIVE,16.287725085,13.4
267,2,10,Odell Beckham Jr.,4,WR,QUESTIONABLE,17.044761357499997,28.1
268,2,10,Will Fuller V,20,Bench,QUESTIONABLE,8.991401644,8.0
269,2,10,Cooper Kupp,23,Flex,ACTIVE,13.1845168129,17.6
270,2,10,Matt Breida,2,RB,ACTIVE,12.74031163,14.200000000000001
271,2,10,Geronimo Allison,20,Bench,ACTIVE,7.142548033000001,10.5
272,2,10,Devin Singletary,20,Bench,ACTIVE,10.868804861,11.7
273,2,10,Antonio Brown,23,Flex,ACTIVE,13.295201381999998,16.1
274,2,10,Russell Wilson,0,QB,ACTIVE,17.879610561,24.2
275,2,10,Adrian Peterson,20,Bench,ACTIVE,10.885895831000001,11.2
276,2,10,Jimmy Graham,6,TE,ACTIVE,8.315459717,0.0
277,2,10,Chris Thompson,2,RB,ACTIVE,11.624174305999999,10.100000000000001
278,2,11,Ezekiel Elliott,2,RB,ACTIVE,21.697060164000003,20.0
279,2,11,DeAndre Hopkins,4,WR,QUESTIONABLE,15.97145123,9.0
280,2,11,Joe Mixon,2,RB,ACTIVE,14.839322041000003,5.7
281,2,11,Calvin Ridley,4,WR,QUESTIONABLE,12.521611156399999,24.5
282,2,11,Deshaun Watson,0,QB,ACTIVE,18.676715675,12.86
283,2,11,Jared Cook,6,TE,ACTIVE,10.481514941,4.5
284,2,11,Jarvis Landry,23,Flex,QUESTIONABLE,11.905117945399999,6.2
285,2,11,Ronald Jones II,20,Bench,ACTIVE,10.441317750000001,0.9
286,2,11,DK Metcalf,20,Bench,ACTIVE,9.575175542,15.100000000000001
287,2,11,Philip Rivers,20,Bench,ACTIVE,16.839812553099996,10.920000000000002
288,2,11,DeSean Jackson,23,Flex,ACTIVE,11.716223531100002,0.0
289,2,11,Jalen Richard,20,Bench,QUESTIONABLE,8.307740148,2.5
290,2,11,Carlos Hyde,20,Bench,ACTIVE,7.731222361,9.0
291,2,12,Kerryon Johnson,2,RB,ACTIVE,14.518535167000001,16.8
292,2,12,Davante Adams,4,WR,ACTIVE,16.217662293,17.6
293,2,12,Dalvin Cook,2,RB,ACTIVE,15.903669794999999,28.099999999999998
294,2,12,Kenny Golladay,4,WR,ACTIVE,12.393973239,25.700000000000003
295,2,12,Cam Newton,0,QB,QUESTIONABLE,19.030975859,11.32
296,2,12,Tarik Cohen,20,Bench,ACTIVE,11.235898653000001,4.5
297,2,12,Miles Sanders,23,Flex,QUESTIONABLE,9.504738565999999,6.700000000000001
298,2,12,Christian Kirk,20,Bench,ACTIVE,11.2274643158,17.4
299,2,12,Royce Freeman,20,Bench,ACTIVE,9.668551562,15.200000000000001
300,2,12,Golden Tate,20,Bench,ACTIVE,0.0,0.0
301,2,12,Jamison Crowder,23,Flex,ACTIVE,11.909170786799999,8.0
302,2,12,Courtland Sutton,20,Bench,ACTIVE,11.364838339,8.0
303,2,12,Darren Waller,6,TE,QUESTIONABLE,11.391620026,12.3
304,2,13,Derrick Henry,2,RB,ACTIVE,15.319959148000002,17.400000000000002
305,2,13,George Kittle,6,TE,ACTIVE,15.58416001,8.4
306,2,13,Amari Cooper,4,WR,ACTIVE,14.04726632,14.4
307,2,13,Zach Ertz,23,Flex,QUESTIONABLE,14.519917026,17.2
308,2,13,Devonta Freeman,2,RB,ACTIVE,15.768509144999998,9.4
309,2,13,A.J. Green,21,IR,QUESTIONABLE,0.0,0.0
310,2,13,Tom Brady,0,QB,ACTIVE,19.995238294099998,24.66
311,2,13,Josh Gordon,20,Bench,OUT,11.589730865,3.9000000000000004
312,2,13,Drew Brees,20,Bench,ACTIVE,17.0164522983,-0.48
313,2,13,Emmanuel Sanders,20,Bench,ACTIVE,10.6670846403,28.8
314,2,13,LeSean McCoy,20,Bench,ACTIVE,11.649896307,5.300000000000001
315,2,13,Austin Ekeler,23,Flex,ACTIVE,16.789621910000005,23.3
316,2,13,Sterling Shepard,4,WR,ACTIVE,0.0,0.0
317,2,13,Terry McLaurin,20,Bench,QUESTIONABLE,10.250300871,17.2
318,3,1,Saquon Barkley,2,RB,ACTIVE,20.729541731,7.7
319,3,1,Alvin Kamara,2,RB,ACTIVE,19.382671975,37.1
320,3,1,James White,20,Bench,ACTIVE,0.0,0.0
321,3,1,Tyler Boyd,4,WR,ACTIVE,13.5489094946,12.8
322,3,1,Jared Goff,20,Bench,ACTIVE,16.7684563362,14.120000000000001
323,3,1,Austin Hooper,6,TE,ACTIVE,9.417386099,24.6
324,3,1,Marquez Valdes-Scantling,20,Bench,ACTIVE,9.6161778894,21.9
325,3,1,Michael Gallup,21,IR,ACTIVE,0.0,0.0
326,3,1,T.J. Hockenson,20,Bench,QUESTIONABLE,9.065036118,1.1
327,3,1,Marquise Brown,23,Flex,QUESTIONABLE,12.9497490124,6.9
328,3,1,John Ross III,4,WR,ACTIVE,11.8325066487,2.2
329,3,1,Devin Smith,20,Bench,ACTIVE,8.309228447,5.9
330,3,1,Courtland Sutton,23,Flex,ACTIVE,11.024338202000001,13.700000000000001
331,3,1,Matthew Stafford,0,QB,ACTIVE,15.5174530709,12.14
332,3,2,David Johnson,2,RB,ACTIVE,18.287131000000002,18.5
333,3,2,Brandin Cooks,4,WR,ACTIVE,12.7663328408,20.0
334,3,2,Mike Evans,4,WR,QUESTIONABLE,13.524683468000001,45.0
335,3,2,Mark Ingram II,2,RB,ACTIVE,11.078346492,35.5
336,3,2,Malcolm Brown,20,Bench,ACTIVE,7.126797445099999,0.7000000000000001
337,3,2,Alexander Mattison,20,Bench,ACTIVE,4.117969253100001,11.8
338,3,2,N'Keal Harry,21,IR,ACTIVE,0.0,0.0
339,3,2,Kyler Murray,0,QB,ACTIVE,16.753782121999997,17.82
340,3,2,T.Y. Hilton,23,Flex,ACTIVE,13.288835086,20.5
341,3,2,Greg Olsen,6,TE,ACTIVE,9.897533552,25.5
342,3,2,Corey Davis,20,Bench,ACTIVE,6.858778868600001,7.4
343,3,2,Deebo Samuel,23,Flex,ACTIVE,9.4695048584,7.4
344,3,2,Darwin Thompson,20,Bench,ACTIVE,8.215225415,0.8
345,3,2,Jamison Crowder,20,Bench,ACTIVE,11.625742605300001,4.5
346,3,3,Todd Gurley II,2,RB,ACTIVE,14.852925944,4.3
347,3,3,Keenan Allen,4,WR,ACTIVE,17.1109194001,43.6
348,3,3,Tyler Lockett,4,WR,ACTIVE,13.0931557873,32.4
349,3,3,Adam Thielen,23,Flex,ACTIVE,14.320005122000001,20.6
350,3,3,Carson Wentz,0,QB,QUESTIONABLE,17.074183956,21.66
